"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",100,0.810811439607513,-0.28236571734644,-0.745349797226752
"2",120,0.867509796047689,-0.367740898497018,-0.785557458236671
"3",140,0.882850055486685,-0.329260498545526,-0.805739973657044
"4",160,0.840179999005344,-0.375921387882871,-0.741811122111324
"5",180,0.870382128319314,-0.387252865114742,-0.697815777557279
"6",200,0.784930141443244,-0.144137653408712,-0.725553495874646
"7",220,0.757437931277741,-0.0255851657870458,-0.681215854939828
"8",240,0.797771256870009,0.356203671783228,-0.710446028586866
"9",260,0.833503996367991,0.350311949762362,-0.741077608837938
"10",280,0.869758170044922,0.362617862764843,-0.765844309812882
"11",300,0.854893485133806,-0.1898644414192,-0.788258954565497
"12",320,0.89801777829602,-0.657812428984012,-0.524667572644357
"13",340,0.882653677297277,-0.317221764603531,-0.823666626386951
"14",360,0.827432874504025,-0.257453385557477,-0.786330989339787
"15",380,0.824290916914504,-0.297362037580968,-0.768752174531779
"16",400,0.804747035780009,-0.285781438896876,-0.752258115372143
"17",420,0.851823337557033,-0.24119851669838,-0.812944830633586
"18",440,0.777458157418839,-0.262324347251609,-0.725721932859052
"19",460,0.813409896016497,-0.443862317043195,-0.525616805206965
"20",480,0.880043468693305,-0.115293454357942,-0.683550585254137
"21",500,0.838639871484544,-0.439023812843999,-0.518125074287473
"22",520,0.858584417575899,-0.514464694176753,-0.509532750807687
"23",540,0.838374029473065,-0.686336697640556,-0.435627784288261
"24",560,0.802983849219172,-0.263617706019684,-0.740871361989889
"25",580,0.759960226591583,-0.641847839506565,-0.398638319151086
"26",600,0.710664755668646,-0.455290402758524,-0.448566728974482
"27",620,0.729794880097595,-0.441257612588906,-0.551216005015553
"28",640,0.751670992015313,-0.503210071930778,-0.558123279623619
"29",660,0.796449105929961,0.31228977832524,-0.712092868054573
"30",680,0.758623233183624,0.257639054201887,-0.70012263819302
"31",700,0.84629227261077,-0.231714274142332,-0.813929421779059
"32",720,0.872380396707895,-0.23215156866066,-0.840906321889853
"33",740,0.847353529588707,-0.202526546240295,-0.822770872878107
"34",760,0.878975941690301,-0.238977321926199,-0.845851674853712
"35",780,0.825990972885474,-0.262012567717179,-0.767190479275255
"36",800,0.857361472028918,-0.259965670362118,-0.816981433721477
"37",820,0.849609562662251,-0.236750285093137,-0.807845739064072
"38",840,0.858036253768803,-0.31471455057647,-0.798210591431425
"39",860,0.830485457346752,-0.313913980326904,-0.768815899711907
"40",880,0.8647492814239,-0.34158217508588,-0.767845277349057
"41",900,0.864092008549977,0.233235973442564,-0.793417588657894
"42",920,0.893009300581573,-0.370102233376339,-0.812602052268326
"43",940,0.887849481539177,-0.395416046583477,-0.794922223023321
"44",960,0.920491515266845,-0.438709479205075,-0.809202754083059
"45",980,0.89004636802855,-0.401675116415667,-0.794233130908357
"46",1000,0.913433154424429,-0.398268842872005,-0.822022289185298
"47",1020,0.916320041642925,-0.396878051475957,-0.825897480637267
"48",1040,0.908244655378538,-0.359623677454356,-0.834001570948836
"49",1060,0.903369466412251,-0.299069058829844,-0.852243624523159
"50",1080,0.918323075984981,-0.308737996637848,-0.864744038392534
"51",1100,0.905799208152612,-0.212179611974189,-0.880586585042293
"52",1120,0.892139886074705,-0.189857550763009,-0.871695149655044
"53",1140,0.881599001659532,-0.177490546460195,-0.863537743373722
"54",1160,0.847146825063742,-0.173557579084869,-0.829161033264626
"55",1180,0.758790844461872,-0.364144916780348,-0.506482965047146
"56",1200,0.774134175077607,0.253345702152679,-0.727854289279487
"57",1220,0.838129863117036,0.241982164078563,-0.802187541759191
"58",1240,0.841597265956621,-0.0433170473571866,-0.781211273582441
"59",1260,0.822556815138537,0.0311206970454818,-0.757051937954414
"60",1280,0.81885882648998,-0.330863024689721,-0.748993956478306
"61",1300,0.814526108280031,-0.292194812800648,-0.749077586987294
"62",1320,0.792992962313491,0.230655925833689,-0.753570432078287
"63",1340,0.76795421011955,-0.0225868569291161,-0.711243461944889
"64",1360,0.888943944569228,-0.343524426706266,-0.529111181349139
"65",1380,0.806905425585671,-0.318720119673552,-0.741236393049786
"66",1400,0.833100670025814,-0.328738351953582,-0.705693411943977
"67",1420,0.875614221021539,-0.26971368602818,-0.833022840521929
"68",1440,0.89069105016545,-0.299602663044264,-0.838773308232083
"69",1460,0.902703814263129,-0.108735984078894,-0.852070270872495
"70",1480,0.91069586612712,0.154171852764061,-0.831840759081069
"71",1500,0.889883485621809,0.130686112926671,-0.811727436403635
"72",1520,0.849016541495001,-0.229687871162156,-0.804214666916627
"73",1540,0.834350361315112,0.0722281378497708,-0.708949216035238
"74",1560,0.849052486559357,-0.270327973699533,-0.633508358111405
"75",1580,0.977363518322417,-0.618386121312912,-0.499748412322346
"76",1600,0.9376751595565,-0.670130128692095,-0.427105557623902
"77",1620,0.849945221260724,-0.386817545636504,-0.583574288827532
"78",1640,0.806766390601906,-0.294698246555794,-0.75097422143092
"79",1660,0.849080774672643,-0.31208158970324,-0.789616612488221
"80",1680,0.856346149897315,-0.293923715978439,-0.804299656884851
"81",1700,0.835337256850932,-0.337399694690815,-0.764131070974163
"82",1720,0.885745415197748,-0.477617076784194,-0.74588120380774
"83",1740,0.869907192860402,-0.433880721758397,-0.753959701905703
"84",1760,0.864151675343221,-0.449209652486824,-0.738195448224422
"85",1780,0.863481920581499,-0.430579073654217,-0.74843827622483
"86",1800,0.912640602657418,-0.355431331372814,-0.840543068852758
"87",1820,0.896424141418404,-0.299532698518216,-0.844884335665818
"88",1840,0.880896685359742,-0.329711216940053,-0.816841541124563
"89",1860,0.856729881905226,-0.295585178610959,-0.804097355747293
"90",1880,0.797906291530592,-0.288041437341271,-0.744041651455442
"91",1900,0.838899361778023,-0.429835630424322,-0.720359934524157
"92",1920,0.826679617260145,-0.406114581643906,-0.716613696245532
"93",1940,0.869846090578759,-0.369330220717895,-0.787527969767436
"94",1960,0.852893677720942,-0.390278634321156,-0.751711140441423
"95",1980,0.856464742967936,-0.315087498927625,-0.796376045817725
"96",2000,0.912772085598416,-0.322379515718967,-0.853934452000282
"97",2020,0.891847318671404,-0.309230906416242,-0.836508425184149
"98",2040,0.899691477971474,-0.326657237076667,-0.838285341099818
"99",2060,0.87323874867594,-0.309302899554785,-0.816608658158386
"100",2080,0.896300096123739,-0.318097437674713,-0.779981557875988
"101",2100,0.841535426690389,-0.65413978435546,-0.529380544203262
"102",2120,0.817760340346243,-0.290830360113264,-0.757761237564247
"103",2140,0.81160126511812,-0.290116736195281,-0.746638760701449
"104",2160,0.801621966169415,-0.262638028592364,-0.650571083968977
"105",2180,0.903201364475314,-0.29083032033446,-0.711438990936415
"106",2200,0.880312890942511,-0.343542877169116,-0.714050129207176
"107",2220,0.837462273853173,-0.291163564465623,-0.784995116131776
"108",2240,0.824566337334333,-0.265614582931635,-0.780187146372394
"109",2260,0.816489939080649,-0.144307776320572,-0.778167578827373
"110",2280,0.774056792963616,0.130665205924987,-0.762853068914279
"111",2300,0.795272925357467,-0.37631979650477,-0.700474658612547
"112",2320,0.877007889269329,-0.426264142610437,-0.766423892541958
"113",2340,0.82546280715388,-0.437159006773961,-0.700157297078493
"114",2360,0.781379314349299,-0.251637970840238,-0.705486660290128
"115",2380,0.84521587572599,-0.175327571603398,-0.769580939466913
"116",2400,0.811179533333295,-0.598638177476265,-0.524747220079406
"117",2420,0.852237679852905,-0.55273692412258,-0.595096280142323
"118",2440,0.860254697297732,-0.201396079538613,-0.836329097148541
"119",2460,0.872041348049541,-0.189821793054579,-0.851113726290753
"120",2480,0.827245780555893,-0.20952496809087,-0.800181186044241
"121",2500,0.85685034056755,-0.239064795415995,-0.822785741546261
"122",2520,0.830739581871223,-0.291970630065486,-0.777687088595622
"123",2540,0.851763511743563,-0.335506196424065,-0.782573948670725
"124",2560,0.853332424049258,-0.353554487621885,-0.747648303427948
"125",2580,0.842195657728424,0.268859183036264,-0.798106983878947
"126",2600,0.913145995244446,-0.265047266941245,-0.74451303987114
"127",2620,0.855290601974525,-0.700025160001938,-0.481409528922302
"128",2640,0.833281044332674,-0.633641947820275,-0.516620019317499
"129",2660,0.829004718779162,-0.24474488097127,-0.789559594390124
"130",2680,0.859153869668215,-0.259208838073165,-0.819097732879317
"131",2700,0.913471448610069,-0.298869148979481,-0.863184675890886
"132",2720,0.930816785998519,-0.300444793469195,-0.880846887651706
"133",2740,0.926039138858059,-0.318908400789603,-0.869388806261442
"134",2760,0.902386970583113,-0.281892437580706,-0.857129794734092
"135",2780,0.913472927548907,-0.277559888342319,-0.870222288827674
