"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",100,0.62776717151785,-0.258286194881802,-0.57189179764694
"2",120,0.752160303727466,-0.375436282628765,-0.651577223562129
"3",140,0.683137445433075,-0.319402960737628,-0.601868194066127
"4",160,0.733147381826066,-0.340724805354725,-0.648877006748238
"5",180,0.722673152187611,-0.306270210158884,-0.654255140208248
"6",200,0.815729882486463,-0.15771460679806,-0.800313941177574
"7",220,0.778188128595359,-0.171822309031243,-0.758947252573443
"8",240,0.797281882580631,-0.650923599839114,-0.447902513695133
"9",260,0.832285104888336,-0.455516438943478,-0.606655782242379
"10",280,0.824176560233886,-0.28454505341688,-0.708802313714978
"11",300,0.83812716070234,-0.346724058833714,-0.683850883796891
"12",320,0.763569576152904,-0.0459925361597518,-0.742342879538145
"13",340,0.791636263945887,-0.305572143779633,-0.611761995356797
"14",360,0.772674177211468,-0.101113842785905,-0.607313013946605
"15",380,0.738201927808011,-0.0110488518245069,-0.668319925575426
"16",400,0.742909772309907,-0.0745672172124016,-0.709032209795013
"17",420,0.774532199382771,-0.364350808869375,-0.563806379863523
"18",440,0.750764434407129,-0.0528865340645146,-0.74880267769091
"19",460,0.670924416778049,-0.142679555157803,-0.653733464103835
"20",480,0.787984808922634,-0.355757756164299,-0.660813718738708
"21",500,0.869244986284813,-0.322851550529511,-0.807047111155739
"22",520,0.833154674782124,-0.375980310288779,-0.743472001996539
"23",540,0.786586865123771,-0.37927825102697,-0.68314417255335
"24",560,0.761967147873355,-0.431642864457459,-0.627720756217191
"25",580,0.797192606393459,-0.415796225975815,-0.67889328692452
"26",600,0.831121506572895,-0.363370248289785,-0.747234739607309
"27",620,0.813765586213317,-0.391213100651707,-0.71353390360121
"28",640,0.745352895386185,-0.322348592098703,-0.671871308063198
"29",660,0.814566772827427,-0.36339840836339,-0.696306742868262
"30",680,0.741493244626732,-0.136109042355346,-0.728751431899832
"31",700,0.7054104156604,-0.132303993183915,-0.687250031735555
"32",720,0.77472387189985,-0.168523442887008,-0.756100466821347
"33",740,0.755411273472558,-0.0814256104224286,-0.750895111257128
"34",760,0.64942923814329,-0.0232941861536464,-0.64782666319238
"35",780,0.701884746991027,0.0801529873091212,-0.692547148022864
"36",800,0.704093774891529,-0.292898189116815,-0.596367720008111
"37",820,0.748311418725738,0.0025589111583231,-0.716720302497945
"38",840,0.830727212532096,-0.107853982047855,-0.737021991175128
"39",860,0.778968615685592,-0.33751675852641,-0.646123292600041
"40",880,0.639282907886925,-0.0792534859674148,-0.626167551563334
"41",900,0.784256166912673,-0.189100131949289,-0.76106085323738
"42",920,0.860943103756207,-0.274436250123252,-0.694155150008845
"43",940,0.887173463508294,-0.2327685402765,-0.856038982383321
"44",960,0.846548605356047,-0.22689916160108,-0.815532607943132
"45",980,0.86211787736371,-0.236194934406547,-0.829100873424486
"46",1000,0.724017056678771,-0.293369373507604,-0.661237493897284
"47",1020,0.789335367289627,-0.358531006102525,-0.703179598776271
"48",1040,0.679179518591953,0.000544029097432908,-0.673340903747246
"49",1060,0.755318039064836,-0.0663142318165822,-0.752198349774978
"50",1080,0.817554705049819,-0.108885256620302,-0.810227687946877
"51",1100,0.766605649605535,-0.128468394494255,-0.755525769756657
"52",1120,0.829135683865838,-0.0531364257451607,-0.827397234137615
"53",1140,0.807439668409802,-0.0809680976248431,-0.803342661573267
"54",1160,0.765521493437193,-0.1340366611511,-0.751222183210258
"55",1180,0.850862876134198,-0.415919826493049,-0.741767442817586
"56",1200,0.896500660161867,-0.390597639333317,-0.806856904552908
"57",1220,0.893497665838031,-0.413511144816453,-0.792002542878983
"58",1240,0.89784552059618,-0.393149216153669,-0.807148601121398
"59",1260,0.84454889870499,-0.37411164215565,-0.7514969702993
"60",1280,0.813922723657297,-0.259732182369986,-0.705102815093203
"61",1300,0.863952671167621,-0.33156988870131,-0.654494341526232
"62",1320,0.818943308801743,-0.204801861715729,-0.670686747590017
"63",1340,0.855553982852725,0.0305952666616029,-0.713436307965861
"64",1360,0.830290110138339,0.161877316073425,-0.724034796586378
"65",1380,0.775568670049171,0.43147265863495,-0.640528473113435
"66",1400,0.765458543691211,-0.09013624268533,-0.760078641868684
"67",1420,0.878273964426441,-0.275400776382462,-0.682907515091195
"68",1440,0.849365813371653,-0.188891645484284,-0.695683020843372
"69",1460,0.794755817540632,-0.210324021913834,-0.731124764382173
"70",1480,0.832504289150027,-0.325176084890559,-0.751740092467324
"71",1500,0.779882019911765,-0.299044065170781,-0.720155209577051
"72",1520,0.850930052116688,-0.219026381633475,-0.822210369419547
"73",1540,0.866325440517318,-0.23363056131638,-0.834194175784704
"74",1560,0.818133712315712,-0.21736611325728,-0.788656000347712
"75",1580,0.837168461460724,-0.211523241838685,-0.809944923090889
"76",1600,0.777196807050308,-0.224999145145825,-0.743850081784981
"77",1620,0.81375940363419,-0.231102996228174,-0.780204736654137
"78",1640,0.777153343017706,-0.268419862843329,-0.72757459455138
"79",1660,0.863430472741918,-0.386292240655136,-0.732342050907867
"80",1680,0.854692485848306,-0.427000977142694,-0.674799351293005
"81",1700,0.857755649349899,-0.383279219073304,-0.732459295945111
"82",1720,0.754880692326856,-0.240942530392288,-0.713277399611046
"83",1740,0.816733491495651,-0.117232968314325,-0.808238631254457
"84",1760,0.786509594959511,-0.185768195811926,-0.764161919037318
"85",1780,0.803974621972659,-0.111358770061335,-0.796191687312922
"86",1800,0.831530451393914,-0.107528952241978,-0.824526216901866
"87",1820,0.777264614405438,-0.166361771436562,-0.759117244618581
"88",1840,0.785798751256881,-0.176282656785906,-0.765677245864882
"89",1860,0.820365334827099,-0.182971195591585,-0.799628873131312
"90",1880,0.815422195808428,-0.27835505461347,-0.766358816981865
"91",1900,0.763070876778154,-0.319714089299806,-0.687317252019923
"92",1920,0.861705833071864,-0.222032038369192,-0.8325910768366
"93",1940,0.828735858595467,-0.203584284069765,-0.803310672865384
"94",1960,0.804895446819525,-0.265676260456069,-0.759698576220695
"95",1980,0.84108745372382,-0.262623309732972,-0.798975813546237
"96",2000,0.834624393816308,-0.241143915523173,-0.798982218985135
"97",2020,0.803891152097368,-0.350130187056682,-0.723312261537772
"98",2040,0.842746065665717,-0.323368395444804,-0.778197450240257
"99",2060,0.819190393194792,-0.252245981626165,-0.779345025459471
"100",2080,0.839414500234066,-0.230438753209153,-0.807147900524598
"101",2100,0.873790705088824,-0.247702314604212,-0.837209582462524
"102",2120,0.838236380366961,-0.171948498861032,-0.82039239559211
"103",2140,0.844824225531143,-0.198444442382289,-0.821155036856685
"104",2160,0.847008065314574,-0.129943795604868,-0.836966133310934
"105",2180,0.843377493340983,-0.151809580970638,-0.829581670092996
"106",2200,0.843292795314349,-0.174677462263766,-0.824974838454926
"107",2220,0.87543531715565,-0.199140539699469,-0.852003951265149
"108",2240,0.879878837086509,-0.182770767509558,-0.859147142554957
"109",2260,0.800792591319513,-0.229246292552112,-0.766905451020967
"110",2280,0.721420770265879,-0.222005371201912,-0.685900972140609
"111",2300,0.843361838374487,-0.327284568039047,-0.777215318007506
"112",2320,0.872660720427347,-0.365309312013373,-0.792501049306711
"113",2340,0.866896571672155,-0.374193089569668,-0.781791829701795
"114",2360,0.877234016610854,-0.340802161435507,-0.80818167204047
"115",2380,0.848990254095844,-0.274429102135159,-0.803258193403267
"116",2400,0.773924683141902,-0.246976612107547,-0.725874000160677
"117",2420,0.741459201880249,-0.205398761048148,-0.712261670169568
"118",2440,0.78225836419323,-0.158638213107502,-0.765919157186439
"119",2460,0.746055138703714,-0.346546312750995,-0.660566151829582
"120",2480,0.768052795687509,-0.299374822658545,-0.707217127472145
"121",2500,0.822963167695165,-0.330711444916532,-0.753558434959007
"122",2520,0.879088532256119,-0.474662238361954,-0.58071556785985
"123",2540,0.877469044876478,-0.377206810146597,-0.75217640619512
"124",2560,0.863644667327069,-0.38786071385161,-0.699900723220885
"125",2580,0.820073155860186,-0.224693793476397,-0.788321002239544
"126",2600,0.840030772883277,-0.150165136138085,-0.826164629084976
"127",2620,0.860539818040712,-0.169697269718828,-0.833343125889348
